Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-03-09,19.0,24.6,21.2,92.0,3.2,1.25,3.0,310.0,1.0,N 
2014-03-10,19.0,23.0,19.9,94.0,16.0,0.9,2.0,330.0,0.0,N 
2014-03-11,19.0,22.8,20.4,95.0,12.7,0.0,3.0,320.0,1.0,N 
2014-03-12,18.0,24.1,20.73333333333333,93.66666666666667,9.4,0.0,2.0,340.0,0.0,N 
2014-03-13,18.0,25.2,21.066666666666666,92.33333333333333,6.1,0.0,2.0,320.0,0.0,N 
2014-03-14,19.0,25.9,21.4,91.0,52.5,1.2,4.0,320.0,1.0,N 
2014-03-15,19.0,26.6,21.3,88.0,0.0,2.4,2.0,170.0,0.0,N 
2014-03-16,19.0,26.2,21.6,89.0,0.0,2.3,4.0,330.0,1.0,N 
2014-03-17,20.0,26.4,21.4,89.0,0.0,2.2,4.0,330.0,0.0,N 
2014-03-18,19.0,24.6,21.1,89.5,21.5,1.3,2.0,320.0,0.0,N 
2014-03-19,18.0,24.8,20.8,90.0,18.9,2.6,2.0,300.0,0.0,N 
2014-03-20,18.0,26.4,21.0,86.0,4.6,3.1,2.0,330.0,0.0,N 
2014-03-21,18.0,26.2,21.7,82.0,1.8,2.3,3.0,320.0,0.0,N 
2014-03-22,18.0,26.2,22.0,86.0,1.6,1.9,2.0,350.0,0.0,N 
2014-03-23,20.0,25.2,21.2,92.0,0.0,1.5,3.0,320.0,0.0,N 
2014-03-24,19.0,24.2,21.2,95.0,0.1,0.3,2.0,320.0,0.0,N 
2014-03-25,19.0,24.0,20.7,95.0,8.5,1.4,2.0,355.0,0.0,N 
2014-03-26,19.0,22.2,21.3,92.0,3.7,1.0,2.0,330.0,0.0,N 
2014-03-27,19.0,25.7,21.2,89.0,25.299999999999997,1.0,3.0,320.0,0.0,N 
2014-03-28,19.0,26.4,21.9,89.0,46.9,2.8,2.0,310.0,1.0,N 
2014-03-29,19.0,26.45,22.25,88.5,24.45,3.4,2.0,170.0,0.5,
2014-03-30,19.0,26.5,22.6,88.0,2.0,4.0,2.0,30.0,0.0,N 
2014-03-31,18.5,26.0,22.0,90.0,4.6,3.5,3.0,320.0,0.0,N 
2014-04-01,18.0,28.2,22.0,79.0,7.2,3.8,3.0,80.0,1.0,N 
2014-04-02,19.0,26.6,21.1,88.0,0.3,6.9,2.0,290.0,0.0,N 
2014-04-03,19.0,28.2,22.3,84.0,3.0,4.5,2.0,330.0,0.0,N 
2014-04-04,20.0,26.6,21.6,90.0,3.0,7.0,2.0,250.0,0.0,N 
2014-04-05,18.0,26.8,21.5,90.0,4.0,3.7,2.0,340.0,0.0,N 
2014-04-06,19.0,23.8,20.3,96.0,30.3,4.2,2.0,290.0,0.0,N 
2014-04-07,18.0,27.4,22.3,82.0,99.2,1.0,3.0,320.0,0.0,N 
2014-04-08,19.0,28.8,22.6,82.0,0.0,6.3,2.0,250.0,0.0,N 
2014-04-09,19.0,27.6,22.3,81.0,0.0,5.8,2.0,270.0,0.0,W 
2014-04-10,18.0,25.2,21.4,92.0,26.8,4.3,3.0,290.0,0.0,N 
2014-04-11,18.0,25.0,21.0,88.0,1.8,2.2,3.0,330.0,0.0,N 
2014-04-12,18.0,26.6,21.9,87.0,7.8,1.6,2.0,250.0,0.0,N 
2014-04-13,18.0,25.8,21.1,86.0,0.0,3.0,4.0,290.0,0.0,N 
2014-04-14,19.0,26.8,21.7,86.0,23.0,2.4,5.0,310.0,1.0,N 
2014-04-15,18.0,27.0,21.0,87.0,37.1,4.2,4.0,330.0,0.0,N 
2014-04-16,18.0,26.0,21.5,87.0,1.8,4.5,2.0,340.0,0.0,N 
2014-04-17,18.0,28.0,21.7,84.0,80.0,3.3,2.0,280.0,0.0,N 
2014-04-18,18.0,26.2,20.8,91.0,2.4,6.8,1.0,140.0,0.0,N 
2014-04-19,19.0,26.2,21.7,88.0,18.5,4.2,2.0,90.0,0.0,N 
2014-04-20,18.0,27.5,21.9,84.0,0.0,2.8,2.0,270.0,0.0,N 
2014-04-21,19.0,26.2,22.4,88.0,0.1,4.6,2.0,320.0,0.0,N 
2014-04-22,18.0,27.6,23.2,77.0,2.2,4.0,3.0,300.0,0.0,N 
2014-04-23,19.0,28.6,22.9,82.0,1.9500000000000002,5.9,3.0,310.0,1.0,N 
2014-04-24,19.0,28.0,23.2,78.0,1.7,7.7,3.0,280.0,1.0,N 
2014-04-25,20.0,27.4,22.7,86.0,0.0,8.5,2.0,290.0,0.0,N 
2014-04-26,19.0,26.4,21.5,89.0,34.4,5.5,1.0,180.0,0.0,N 
2014-04-27,20.0,24.4,21.0,92.0,3.6,3.5,2.0,340.0,0.0,N 
2014-04-28,18.0,26.2,21.7,88.0,4.8,2.7,2.0,290.0,0.0,N 
2014-04-29,19.0,25.4,21.9,90.0,1.9,4.6,2.0,290.0,0.0,N 
2014-04-30,19.0,26.4,21.6,88.0,8.9,3.0,2.0,240.0,0.0,N 
2014-05-01,18.0,25.2,21.2,89.0,0.5,4.5,2.0,330.0,0.0,N 
2014-05-02,19.0,26.6,22.1,89.0,0.7,2.6,3.0,280.0,0.0,N 
2014-05-03,19.0,28.7,22.2,83.0,3.8,4.6,3.0,50.0,0.0,N 
2014-05-04,19.0,28.8,22.8,83.0,6.7333333333333325,6.3,2.0,20.0,1.0,N 
2014-05-05,19.0,27.4,22.8,84.0,9.666666666666666,4.8,3.0,90.0,0.0,N 
2014-05-06,20.0,28.2,23.2,86.0,12.599999999999998,6.4,3.0,330.0,1.0,N 
2014-05-07,20.0,27.2,22.3,88.0,15.533333333333331,6.5,2.0,300.0,0.0,N 
2014-05-08,19.0,26.8,22.0,90.0,18.466666666666665,5.8,2.0,290.0,1.0,N 
2014-05-09,19.0,27.6,22.9,89.0,21.4,5.0,3.0,320.0,1.0,N 
2014-05-10,19.0,26.5,22.4,92.0,0.7,5.2,3.0,300.0,1.0,N 
2014-05-11,20.0,25.6,21.4,92.0,0.0,2.5,2.0,290.0,0.0,N 
2014-05-12,19.0,25.6,21.4,90.0,19.8,1.5,3.0,270.0,1.0,N 
2014-05-13,18.0,27.8,22.4,82.0,0.3,3.7,3.0,340.0,1.0,N 
2014-05-14,19.0,26.8,22.0,89.0,1.0,7.2,2.0,330.0,0.0,N 
2014-05-15,19.0,26.8,21.2,90.0,6.9,5.1,2.0,10.0,0.0,N 
2014-05-16,19.0,26.0,21.4,89.0,52.4,4.6,3.0,320.0,0.0,N 
2014-05-17,19.0,25.2,21.2,92.0,18.7,4.2,2.0,280.0,1.0,N 
2014-05-18,19.0,26.4,21.6,90.0,0.5,2.4,2.0,300.0,1.0,N 
2014-05-19,19.0,25.8,20.8,87.0,0.9,3.4,4.0,310.0,1.0,N 
2014-05-20,18.0,26.0,21.4,90.0,14.0,2.7,3.0,280.0,0.0,N 
2014-05-21,18.0,26.1,22.2,84.0,19.6,3.3,2.0,270.0,0.0,N 
2014-05-22,18.0,25.9,21.3,91.0,1.7,5.2,2.0,300.0,0.0,N 
2014-05-23,18.0,26.2,21.5,87.0,43.7,2.4,2.0,320.0,0.0,N 
2014-05-24,19.0,26.2,21.7,86.0,8.0,3.4,2.0,250.0,0.0,N 
2014-05-25,19.0,27.4,22.4,85.0,0.0,4.0,2.0,320.0,0.0,N 
2014-05-26,19.0,27.2,21.7,92.0,1.8,4.4,1.0,300.0,0.0,N 
2014-05-27,17.0,27.0,22.6,91.0,0.7,1.0,2.0,300.0,0.0,N 
2014-05-28,20.0,25.4,22.3,92.0,1.9,4.0,4.0,70.0,1.0,N 
2014-05-29,19.0,28.5,24.0,69.0,0.0,0.7,4.0,70.0,1.0,N 
2014-05-30,17.0,27.4,21.8,87.0,0.0,7.4,2.0,280.0,0.0,N 
2014-05-31,19.0,25.4,21.0,91.0,0.9,3.4,2.0,270.0,0.0,N 
2014-06-01,18.0,27.2,21.8,83.0,9.7,0.9,3.0,310.0,0.0,N 
2014-06-02,19.0,26.6,21.5,85.0,0.0,3.2,2.0,330.0,1.0,N 
2014-06-03,18.0,27.0,21.5,78.0,0.0,1.0,3.0,40.0,1.0,N 
2014-06-04,18.0,26.8,22.3,85.0,0.0,4.5,2.0,290.0,0.0,N 
2014-06-05,19.0,25.0,21.9,91.0,6.1,3.3,2.0,320.0,0.0,N 
2014-06-06,19.0,25.4,21.5,89.0,0.9,0.2,2.0,320.0,0.0,N 
2014-06-07,19.0,27.8,22.3,86.0,0.0,0.9,3.0,210.0,1.0,N 
2014-06-08,19.0,28.8,22.6,85.0,0.0,4.9,3.0,360.0,0.0,N 
2014-06-09,19.0,28.6,22.8,82.0,0.0,5.6,2.0,30.0,0.0,N 
2014-06-10,19.0,26.2,21.8,88.0,0.0,6.0,3.0,340.0,0.0,N 
2014-06-11,20.0,28.0,23.1,87.0,0.4,0.6,2.0,290.0,1.0,N 
2014-06-12,19.0,27.4,22.6,88.0,0.0,4.5,2.0,350.0,1.0,N 
2014-06-13,20.0,26.2,21.2,93.0,0.2,3.7,1.0,300.0,0.0,N 
2014-06-14,19.0,27.0,21.7,90.0,84.6,0.0,3.0,210.0,1.0,N 
2014-06-15,18.0,24.6,21.0,89.0,11.6,2.6,3.0,350.0,1.0,N 
2014-06-16,19.0,26.8,22.2,84.0,10.3,0.5,3.0,290.0,1.0,N 
