Year,Month,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
2014,1,22.29032258064516,28.358064516129033,24.641935483870967,89.45161290322581,22.64516129032258,2.3112903225806454,3.7096774193548385,272.9032258064516,0.7096774193548387
2014,2,22.678571428571427,29.29642857142857,25.039285714285715,89.0,12.05,2.332142857142857,3.8214285714285716,284.4642857142857,2.0714285714285716
2014,3,22.870967741935484,31.06451612903226,25.561290322580643,87.0,9.077419354838709,4.083870967741936,4.403225806451613,315.0,2.096774193548387
2014,4,23.0,32.28333333333333,26.196666666666665,84.66666666666667,17.029999999999998,5.756666666666666,5.483333333333333,274.5,2.1666666666666665
2014,5,23.06451612903226,32.21290322580645,26.248387096774195,85.35483870967742,9.561290322580646,5.693548387096774,4.580645161290323,266.61290322580646,2.193548387096774
2014,6,23.366666666666667,32.03333333333333,26.476666666666667,83.03333333333333,2.8233333333333333,5.260000000000001,4.2,240.0,2.1333333333333333
2014,7,22.516129032258064,31.432258064516127,25.83225806451613,83.0,11.258064516129032,5.817741935483871,3.5806451612903225,236.61290322580646,2.161290322580645
2014,8,21.93548387096774,31.916129032258063,25.69677419354839,80.3225806451613,17.36774193548387,5.72258064516129,4.129032258064516,252.58064516129033,2.5161290322580645
2014,9,21.366666666666667,33.37666666666667,26.28666666666667,72.63333333333334,0.7266666666666667,7.6066666666666665,4.533333333333333,222.0,2.6666666666666665
2014,10,22.483870967741936,33.900000000000006,26.825806451612905,74.54838709677419,5.816129032258065,6.693548387096774,5.129032258064516,246.7741935483871,2.6451612903225805
2014,11,22.9,32.60333333333333,26.33,83.03333333333333,22.44,5.056666666666667,5.366666666666666,229.66666666666666,2.2333333333333334
2014,12,23.419354838709676,31.561290322580643,26.306451612903224,82.41935483870968,6.5,3.6193548387096777,4.516129032258065,254.3548387096774,2.4193548387096775
2015,1,22.870967741935484,30.11774193548387,25.133870967741935,88.45161290322581,7.635483870967741,4.138709677419355,5.451612903225806,261.5483870967742,2.0161290322580645
2015,2,21.964285714285715,29.842857142857145,25.00714285714286,88.28571428571429,14.742857142857144,3.792857142857143,4.5,242.5,1.5357142857142858
2015,3,22.193548387096776,31.346774193548388,25.611290322580643,85.91935483870968,15.89516129032258,4.72741935483871,5.903225806451613,263.06451612903226,2.0483870967741935
2015,4,22.9,31.715,26.066666666666666,86.0,10.491000000000001,4.888333333333334,4.5,198.66666666666666,1.7833333333333334
2015,5,22.274193548387096,32.47741935483871,26.340860215053766,82.41935483870968,17.067849462365594,7.624193548387097,4.306451612903226,203.38709677419354,1.6129032258064515
2015,6,22.166666666666668,32.66833333333333,26.308888888888887,79.52777777777779,5.316222222222223,7.9399999999999995,4.283333333333333,195.5,1.6833333333333333
2015,7,21.629032258064516,33.020967741935486,26.176344086021505,75.31182795698925,3.4864516129032257,8.490322580645161,5.241935483870968,204.48387096774192,2.2580645161290325
2015,8,21.93548387096774,33.141935483870974,26.241935483870968,75.83870967741936,20.5841935483871,8.398387096774194,5.225806451612903,224.32258064516128,2.161290322580645
2015,9,21.266666666666666,33.95333333333333,26.251666666666665,71.6,9.964296296296295,7.986666666666666,5.5,140.63333333333333,2.2333333333333334
2015,10,22.06451612903226,34.02258064516129,26.80322580645161,73.83870967741936,14.41326164874552,7.724193548387096,5.709677419354839,170.0,2.161290322580645
2015,11,23.4,32.84,26.526666666666664,82.83333333333333,34.855000000000004,6.426666666666667,7.6,193.33333333333334,2.2666666666666666
2015,12,23.032258064516128,31.46129032258065,26.12258064516129,85.38709677419355,19.635483870967743,4.883870967741935,5.67741935483871,145.80645161290323,2.161290322580645
2016,1,23.64516129032258,32.13225806451613,26.40967741935484,86.35483870967742,21.293548387096774,5.467741935483871,5.903225806451613,125.0,2.096774193548387
2016,2,23.275862068965516,30.76551724137931,25.74137931034483,88.79310344827586,23.53793103448276,3.439655172413793,5.379310344827586,145.68965517241378,1.9827586206896552
2016,3,23.85483870967742,31.951612903225808,26.4741935483871,86.58064516129032,17.116129032258065,5.019354838709678,5.516129032258065,331.93548387096774,1.5483870967741935
2016,4,24.05,32.695,26.71333333333333,85.53333333333333,21.189999999999998,5.989444444444445,6.866666666666666,310.0,2.066666666666667
2016,5,24.161290322580644,32.630645161290325,27.09032258064516,84.12903225806451,17.35,5.873118279569892,5.645161290322581,280.96774193548384,1.903225806451613
2016,6,23.066666666666666,31.936666666666667,26.16,85.16666666666667,21.668333333333333,5.926666666666667,5.6,338.6666666666667,1.7333333333333334
2016,7,22.758064516129032,31.979032258064517,26.11935483870968,83.87096774193549,16.84193548387097,7.062903225806451,5.32258064516129,325.0,1.7419354838709677
2016,8,22.774193548387096,32.2,26.08709677419355,82.90322580645162,19.30483870967742,6.577419354838709,5.612903225806452,310.0,1.903225806451613
2016,9,23.233333333333334,31.765,26.263333333333332,84.13333333333334,19.473333333333336,5.9783333333333335,5.933333333333334,342.0,2.0
2016,10,23.258064516129032,31.112903225806452,25.94516129032258,86.93548387096774,13.133870967741935,3.5032258064516126,5.387096774193548,311.61290322580646,1.4516129032258065
2016,11,23.333333333333332,31.473333333333336,26.0,87.11666666666666,13.316666666666666,4.025,7.4,328.6666666666667,1.9666666666666666
2016,12,23.06451612903226,30.870967741935484,26.041935483870965,82.61290322580645,6.75,3.582258064516129,8.580645161290322,307.741935483871,2.6129032258064515
2017,1,22.93548387096774,30.57741935483871,25.883870967741935,83.70967741935483,7.4,3.7548387096774194,7.419354838709677,303.5483870967742,1.6774193548387097
