Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-03-10,23.0,28.4,25.1,90.0,0.1,0.0,3.0,315.0,2.0,NW
2014-03-11,23.0,28.1,25.2,90.0,2.1,0.0,3.0,270.0,2.0,W 
2014-03-12,23.0,27.6,24.5,88.0,0.0,0.1,4.0,315.0,2.0,NW
2014-03-13,22.0,31.0,25.1,86.0,0.0,3.0,5.0,315.0,2.0,NW
2014-03-14,22.0,30.4,25.9,88.0,1.9,3.0,3.0,360.0,2.0,N 
2014-03-15,22.0,31.8,26.2,82.0,0.0,4.7,3.5,360.0,2.0,N 
2014-03-16,22.0,31.6,25.1,90.0,0.0,5.6,4.0,315.0,3.0,NW
2014-03-17,24.0,31.4,24.6,94.0,23.2,3.7,6.0,315.0,2.0,NW
2014-03-18,23.0,32.2,25.3,88.0,21.8,6.5,5.0,315.0,2.0,N 
2014-03-19,23.0,32.6,25.5,87.0,7.8,5.2,8.0,360.0,2.0,N 
2014-03-20,23.0,32.7,25.2,88.0,18.9,6.3,5.0,360.0,2.0,N 
2014-03-21,22.0,31.2,25.2,86.0,23.4,3.7,6.0,270.0,2.0,W 
2014-03-22,23.0,31.0,26.0,85.0,2.7,4.1,4.0,315.0,2.0,NW
2014-03-23,24.0,28.4,24.8,92.0,0.0,0.5,3.0,315.0,2.0,NW
2014-03-24,22.0,30.6,25.1,89.0,6.5,4.7,6.0,360.0,1.0,N 
2014-03-25,24.0,29.0,26.0,88.0,3.3,2.0,5.0,315.0,2.0,NW
2014-03-26,23.0,29.8,25.8,87.0,0.0,1.0,4.0,315.0,3.0,SE
2014-03-27,23.0,32.6,25.7,86.0,0.0,6.0,5.0,315.0,2.0,NW
2014-03-28,23.0,32.6,25.4,88.0,24.6,6.0,5.0,315.0,2.0,N 
2014-03-29,22.0,32.6,25.9,83.0,24.4,5.8,3.0,360.0,3.0,N 
2014-03-30,23.0,31.6,26.3,85.0,7.5,6.3,5.0,360.0,3.0,E 
2014-03-31,23.0,33.1,26.3,84.0,0.0,6.2,5.0,360.0,2.0,N 
2014-04-01,23.0,32.0,26.1,87.0,6.3,5.3,5.0,360.0,3.0,NW
